"filename", "language", "CSS", "JavaScript", "PHP", "Markdown", "YAML", "SCSS", "JSON", "PowerShell", "XML", "HTML", "Ruby", "C++", "C", "Python", "CMake", "Shell Script", "comment", "blank", "total"
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\dist\js\bootstrap.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\dist\js\npm.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 12
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\dist\js\umd\alert.js", "JavaScript", 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 42, 212
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\dist\js\umd\button.js", "JavaScript", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 36, 188
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\dist\js\umd\carousel.js", "JavaScript", 0, 374, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 92, 498
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\dist\js\umd\collapse.js", "JavaScript", 0, 276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 78, 384
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\dist\js\umd\dropdown.js", "JavaScript", 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 68, 313
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\dist\js\umd\modal.js", "JavaScript", 0, 424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 94, 556
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\dist\js\umd\popover.js", "JavaScript", 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 40, 221
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\dist\js\umd\scrollspy.js", "JavaScript", 0, 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 62, 340
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\dist\js\umd\tab.js", "JavaScript", 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 58, 283
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\dist\js\umd\tooltip.js", "JavaScript", 0, 491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 114, 639
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\dist\js\umd\util.js", "JavaScript", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 37, 173
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\docs\_data\browser-bugs.yml", "YAML", 0, 0, 0, 0, 281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 312
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\docs\_data\core-team.yml", "YAML", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\docs\_data\nav.yml", "YAML", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 68
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\docs\_data\showcase.yml", "YAML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\docs\_data\translations.yml", "YAML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\xampp\htdocs\storp\public\assets\bootstrap-4.0.0-alpha.2\docs\_includes\ads.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
